feature,label,family,source_cols,super_pillar,sub_pillar,horizon,direction,transform,w_overall,w_chronic,w_acute,include,rationale
insurance_delta,Insurance coverage change NFHS4-5 (pp),nfhs5_delta,"health_insurance_pct,health_insurance_pct_n4",growth,demand_transition,future,1,delta,4,4,3,1,Payer expansion velocity (largely PM-JAY rollout): rapidly-insuring districts unlock previously unaffordable therapy volume.
immunisation_delta,Full immunisation change NFHS4-5 (pp),nfhs5_delta,"child_full_immun_pct,child_full_immun_pct_n4",growth,demand_transition,future,1,delta,2,1,4,1,Outreach-system improvement velocity - formal-care habit formation in the next generation of parents (acute-aligned).
inst_births_delta,Institutional births change NFHS4-5 (pp),nfhs5_delta,"institutional_births_pct,institutional_births_pct_n4",growth,demand_transition,future,1,delta,2,1,3,1,Facility-trust momentum: households switching into formal care.
ageing_transition,Ageing shift: decline in under-15 share NFHS4-5 (pp),nfhs5_delta,"pop_under15_pct,pop_under15_pct_n4",growth,demand_transition,future,-1,delta_neg,3,5,0,1,Demographic transition speed: a falling child share = ageing pipeline = growing chronic patient pool. Sign-flipped so faster ageing scores higher; zero acute weight (its acute effect is contractionary).
sanitation_delta,Sanitation improvement NFHS4-5 (pp),nfhs5_delta,"improved_sanitation_pct,improved_sanitation_pct_n4",growth,demand_transition,future,1,delta,2,1,0,1,Development momentum marker. Note the two-sided effect: improving sanitation raises spending power/formal-care use but ERODES future enteric acute burden - hence acute weight 0.
pop_growth_15_25,Population growth 2015-2025 (%),ghs_pop,"pop_ghs_2015,pop_ghs_2025",growth,demand_transition,future,1,pct_growth,4,3,4,1,Demographic momentum: where the patient pool itself is expanding (in-migration + natural growth) tomorrow's market outgrows today's rank. Growth skews young/working-migrant -> acute-leaning; chronic prevalence follows with a lag. Same-source 2015 vs 2025 GHS-POP epochs (no census-vs-model level mixing); subnational projection detail mutes but does not misdirect the signal.
pc11_pca_raw_counts,Census 2011 raw PCA counts (80+ columns),census_pca,pc11_pca_*,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (inputs not features): raw gender-split counts already distilled into density/worker_rate/log_pop; scoring them alongside derived rates would double-count population.
literacy_rate,Literacy rate (Census 2011),census_pca,literacy_rate,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (duplicate): superseded by women_10yr_school_pct (NFHS 2019-21 - fresher and 785-complete vs 640).
child_share,Under-6 share (Census 2011),census_pca,child_share,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (duplicate): superseded by pop_under15_pct (NFHS 2019-21; fuller coverage).
women_literate_pct,Women literate (%),nfhs5,women_literate_pct,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (duplicate): near-collinear with women_10yr_school_pct; one education signal per source retained.
female_schooling_pct,Female schooling (%),nfhs5,female_schooling_pct,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (duplicate): same construct as women_10yr_school_pct.
electricity_pct,Household electricity (%),nfhs5,electricity_pct,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (saturated): near-universal by NFHS-5 - no discriminating power across districts.
sex_ratio,Sex ratio,nfhs5,sex_ratio,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (relevance): social indicator without a defensible direction for market attractiveness.
women_married_u18_pct,Women married before 18 (%),nfhs5,women_married_u18_pct,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (relevance): social-development indicator; no direct pharma-demand channel beyond what education already captures.
inst_deliveries_hmis,Institutional deliveries per 1000 (HMIS),hmis,institutional_deliveries_per1000,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (duplicate): NFHS institutional_births_pct kept - survey denominator cleaner than HMIS volume/pop2011.
pc11_vd_facilities,Village-directory 2011 facility/bank columns,census_villdir,"pc11_vd_all_hosp,pc11_vd_comm_bank,pc11_vd_power_all,pc11_td_bank_*",excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (superseded): 2011 facility and bank counts replaced by RHS 2019 and RBI DBIE current-vintage equivalents. Exception: pc11_td_medical_priv retained (no current private-infra substitute).
ipd_vector_components,IPD malaria/dengue per 1000,hmis,"ipd_malaria_per1000,ipd_dengue_per1000",excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (double-count): lab-confirmed positives already carry the vector-borne signal; admissions for the same diseases would count them twice.
secc_standalone_files,Standalone SECC crosswalk files,secc,crosswalk/secc_*.csv,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (duplicate source): per crosswalk README - standalone SECC duplicates the district_frame seccR_/seccU_ modules used here; one source per feature.
public_health_infra_estimate,Walled-off state-apportioned infra estimate,rhs_state_estimate,crosswalk/public_health_infra_estimated_by_district.csv,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (modelled estimate): by team decision this file never enters the index - within a state it is facility_count x state-average so it adds zero district signal beyond facility counts already registered and would double-weight them.
hmis_facility_counts,HMIS facility counts,hmis,crosswalk/hmis_facilities_by_district.csv,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (duplicate): facility counts taken from RHS data.gov.in panel (longer series reconciled totals); HMIS kept for service volumes only.
seccR_house_own1,Rural house ownership (%),secc,seccR_house_own1,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (relevance): near-universal rural ownership; no affordability discrimination beyond RWI/income bands.
seccR_land_own_share,Rural land ownership (%),secc,seccR_land_own_share,excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (relevance): land ownership does not separate health spending power once income-band and salaried shares are in.
seccR_sc_st_shares,SECC SC/ST shares,secc,"seccR_sc_share,seccR_st_share,seccU_sc_share,seccU_st_share,sc_share,st_share",excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (relevance/ethics): demographic composition is not a market-attractiveness variable; deprivation is already captured through income education and wealth measures.
ec13_other_emp,EC13 remaining employment columns,shrug_ec13,"ec13_emp_all,ec13_emp_manuf,ec13_emp_priv,ec13_emp_gov,ec13_count_all,ec13_priv_emp_share",excluded,excluded,current,1,none,0,0,0,0,EXCLUDED (redundant): nonfarm_emp_per_1k + services_emp_share carry the structural signal; remaining EC13 splits are near-collinear with them.
child_ors_zinc_receipt,Children with diarrhoea receiving ORS/zinc (%),nfhs5,"NFHS-5 indicators 62,63",excluded,excluded,current,1,none,0,0,0,0,"EXCLUDED (programme-supply artifact): ORS/zinc receipt measures free public-programme distribution reach, not market behaviour - the behavioural conversion signal is carried by child_acute_careseek_pct (episodes taken to a provider). Scoring both would double-count the same episodes."
u5mr_child_mortality,Under-5 / infant mortality rate,external,no official district source,excluded,excluded,current,-1,none,0,0,0,0,"EXCLUDED (no official district source + construct confound): NFHS-5 publishes IMR/U5MR only at STATE level (district mortality samples too small); district U5MR exists only as academic model-based estimates, and wiring one would break the official-sources-only replicability principle. Conceptually U5MR ~ burden x (1 - access) - the product of the two pillars the framework deliberately separates - and its treatable drivers (diarrhoea, ARI, undernutrition, anaemia, unsafe water) are each scored directly; mortality would add access-confounded noise, not market signal."
slum_pop_share,Census 2011 slum population share,census_slum,PCA-Slum 2011 (NADA catalog 6190) + PC11 town directory (catalog 42648),excluded,excluded,current,1,none,0,0,0,0,"EXCLUDED (notification artifact + unallocatable geography): acquired and bias-gated (town->district via the PC11 town directory; TOT_P reconciles to India 65,494,604 exactly, 0 towns unmatched) but fails construct validity - the PM-JAY/HFR artifact class. State slum shares track what states NOTIFY as slums, not crowding: Bihar 1.2% vs Telangana 13.1% while Bihar's poor-sanitation is 50.5% vs 25.4%; district rho vs poor_sanitation_pct is NEGATIVE (-0.13) and vs density only +0.12 - acute-weighting it would re-depress the same under-notifying eastern belt the v1.4.6 PM-JAY mask repaired. Independently blocking: 14% of national slum pop (Greater Mumbai 5.2M, GHMC 2.3M, DMC 1.6M) sits in single town codes spanning 2-9 districts with no principled split in the source, and pop-apportioning an urban-only 2011 stock fabricates slum residents in rural carve-outs (tribal Alluri Sitharama Raju inherits 211k). The true crowding/deprivation signal is already carried right-signed by density (acute w5), poor_sanitation_pct, unsafe_water_pct, solid_fuel_ari_pct and inmigrant_recent_per1000 (its strongest correlate, rho +0.35)."
